epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1950.63,0.67143,0.36305,0.96946,0.99828,0.9992,0.995,0.88998,0.52203,0.24267,0.88151,0.0011684,0.0011684,0.0011684
44,1996,0.66785,0.36212,0.96544,0.99933,0.99827,0.99499,0.89128,0.51407,0.24215,0.87803,0.0011486,0.0011486,0.0011486
45,2041.11,0.67062,0.36078,0.96638,0.99914,0.99942,0.995,0.89883,0.51435,0.23616,0.87744,0.0011288,0.0011288,0.0011288
46,2086.34,0.661,0.35968,0.96042,0.99869,0.9977,0.99495,0.8977,0.50821,0.23727,0.87491,0.001109,0.001109,0.001109
47,2131.11,0.65541,0.35382,0.96172,0.99885,0.99931,0.995,0.89248,0.50662,0.23552,0.87279,0.0010892,0.0010892,0.0010892
48,2175.98,0.65449,0.35462,0.96238,0.99867,0.99942,0.995,0.89399,0.50775,0.23615,0.87425,0.0010694,0.0010694,0.0010694
49,2221.08,0.65116,0.35128,0.9583,0.99991,0.99827,0.995,0.89069,0.51049,0.22969,0.87484,0.0010496,0.0010496,0.0010496
50,2266.4,0.65292,0.34718,0.96084,0.99942,0.99902,0.99499,0.89518,0.49375,0.23026,0.86831,0.0010298,0.0010298,0.0010298
51,2311.63,0.64087,0.3442,0.9567,0.99989,0.99942,0.995,0.89517,0.49567,0.22591,0.8675,0.00101,0.00101,0.00101
52,2356.82,0.64312,0.34294,0.95389,0.99812,0.99942,0.995,0.90372,0.49019,0.22494,0.86569,0.0009902,0.0009902,0.0009902
53,2402.06,0.64352,0.34381,0.95686,0.9994,1,0.995,0.90643,0.48651,0.2255,0.86386,0.0009704,0.0009704,0.0009704
54,2446.88,0.63834,0.34201,0.95702,0.99939,1,0.995,0.9062,0.47745,0.22178,0.86162,0.0009506,0.0009506,0.0009506
55,2491.94,0.63676,0.34128,0.95437,0.99942,0.99894,0.995,0.90067,0.48953,0.22258,0.86552,0.0009308,0.0009308,0.0009308
56,2536.99,0.62789,0.33591,0.95225,0.99988,1,0.995,0.9061,0.47192,0.22305,0.85983,0.000911,0.000911,0.000911
57,2582.32,0.61973,0.33225,0.95051,0.99942,0.99938,0.995,0.90984,0.48091,0.21671,0.85942,0.0008912,0.0008912,0.0008912
58,2627.49,0.62828,0.33616,0.95039,1,0.99876,0.995,0.91369,0.4738,0.21903,0.85908,0.0008714,0.0008714,0.0008714
59,2672.78,0.61949,0.32864,0.94793,0.99991,0.99942,0.995,0.91889,0.46845,0.21327,0.85481,0.0008516,0.0008516,0.0008516
60,2718.37,0.61995,0.32505,0.94719,0.99988,0.99942,0.995,0.90534,0.46921,0.22211,0.85573,0.0008318,0.0008318,0.0008318
61,2763.51,0.61976,0.32847,0.94671,0.99973,0.99942,0.995,0.91216,0.45967,0.21971,0.85205,0.000812,0.000812,0.000812
62,2808.59,0.60932,0.32605,0.9439,0.99983,1,0.995,0.91437,0.46194,0.21622,0.85326,0.0007922,0.0007922,0.0007922
63,2853.56,0.60828,0.32309,0.94511,0.99986,1,0.995,0.91536,0.4601,0.21102,0.85254,0.0007724,0.0007724,0.0007724
64,2899.04,0.60819,0.32111,0.94565,0.99942,0.99929,0.99498,0.91646,0.45964,0.21338,0.85256,0.0007526,0.0007526,0.0007526
65,2944.23,0.59988,0.31537,0.94125,0.99994,0.99942,0.995,0.92022,0.45757,0.20888,0.85077,0.0007328,0.0007328,0.0007328
